Symbol,Name,Market Capital,CEO,Employees,Headquarters,Founded,Industry,Source,Source Link,ceo_indian_origin
AVB,AvalonBay Communities Inc. Common Stock,29437467958.0,Benjamin Schall,"2,988","Arlington, Arlington CountyUnited States",1978,,Google Finance,https://www.google.com/finance/quote/AVB:NYSE?hl=en,yes
AVBP,ArriVent BioPharma Inc. Common Stock,727016921.0,Zhengbin Yao Ph.D.,52,"Newtown Square, PennsylvaniaUnited States",2021,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AVBP,https://www.google.com/finance/quote/AVBP:NASDAQ?hl=en",no
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),141636119.0,Eric G Wintemute,755,"Newport Beach, CaliforniaUnited States",1969,,Google Finance,https://www.google.com/finance/quote/AVD:NYSE?hl=en,no
AVDL,Avadel Pharmaceuticals plc Ordinary Share,881291698.0,Gregory J. Divis,188,Block 10-1 Blanchardstown Corporate Park Ballycoolin Dublin 15 Ireland,1990,,"CNBC,Google Finance","https://www.google.com/finance/quote/AVDL:NASDAQ?hl=en,https://www.cnbc.com/quotes/AVDL",no
AVDX,AvidXchange Holdings Inc. Common Stock,2021106183.0,Michael Praeger,"1,600","Charlotte, North CarolinaUnited States",2000,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AVDX,https://www.google.com/finance/quote/AVDX:NASDAQ?hl=en",no
AVGO,Broadcom Inc. Common Stock,1138200725924.0,Hock E. Tan,"37,000","3421 Hillview Avenue Palo Alto, CA 94304 United States",1961,,"CNBC,Google Finance","https://www.google.com/finance/quote/AVGO:NASDAQ?hl=en,https://www.cnbc.com/quotes/AVGO",no
AVIR,Atea Pharmaceuticals Inc. Common Stock,254171041.0,Jean-Pierre Sommadossi Ph.D.,56,"Boston, MassachusettsUnited States",2012,,"CNBC,Google Finance","https://www.google.com/finance/quote/AVIR:NASDAQ?hl=en,https://www.cnbc.com/quotes/AVIR",no
AVK,Advent Convertible and Income Fund,0.0,Tracy Maitland,,"227 W. Monroe Street Chicago, IL 60606 United States",2003,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AVK,https://www.google.com/finance/quote/AVK:NYSE?hl=en",no
AVNS,Avanos Medical Inc. Common Stock,581286829.0,Joseph F. Woody,"2,227","Alpharetta, GeorgiaUnited States",2014,,Google Finance,https://www.google.com/finance/quote/AVNS:NYSE?hl=en,no
AVNT,Avient Corporation Common Stock,3307077137.0,Ashish K. Khandpur,"9,200","Avon Lake, OhioUnited States","Aug 31, 2000",,Google Finance,https://www.google.com/finance/quote/AVNT:NYSE?hl=en,no
AVNW,Aviat Networks Inc. Common Stock,272252645.0,,911,"200 Parker Drive, Suite C100a Austin, TX 78728 United States",2006,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AVNW,https://www.google.com/finance/quote/AVNW:NASDAQ?hl=en",
AVO,Mission Produce Inc. Common Stock,794582187.0,,"3,100","Oxnard, CaliforniaUnited States",1983,,Google Finance,https://www.google.com/finance/quote/AVO:NASDAQ?hl=en,
AVPT,AvePoint Inc. Class A Common Stock,3790299217.0,TJ Jiang,"2,934","525 Washington Blvd, Suite 1400 Jersey City, NJ 07310 United States",2001,,"CNBC,Google Finance","https://www.google.com/finance/quote/AVPT:NASDAQ?hl=en,https://www.cnbc.com/quotes/AVPT",no
AVPTW,AvePoint Inc. Warrant,1473440715.0,TJ Jiang,"2,934","525 Washington Blvd, Suite 1400 Jersey City, NJ 07310 United States",2001,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AVPTW,https://www.google.com/finance/quote/AVPTW:NASDAQ?hl=en",no
AVR,Anteris Technologies Global Corp. Common Stock,152903249.0,,136,"Eagan, MinnesotaUnited States",1999,,Google Finance,https://www.google.com/finance/quote/AVR:NASDAQ?hl=en,
AVT,Avnet Inc. Common Stock,4193704323.0,Philip R. GallagherRoy Vallee,"15,462","Phoenix, ArizonaUnited States",1921,,Google Finance,https://www.google.com/finance/quote/AVT:NASDAQ?hl=en,no
AVTR,Avantor Inc. Common Stock,8797256949.0,Michael Stubblefield,"13,500","Radnor Township, PennsylvaniaUnited States",1904,,Google Finance,https://www.google.com/finance/quote/AVTR:NYSE?hl=en,no
AVTX,Avalo Therapeutics Inc. Common Stock,43310480.0,,23,"Rockville, PennsylvaniaUnited States",2011,,Google Finance,https://www.google.com/finance/quote/AVTX:NASDAQ?hl=en,
AVXL,Anavex Life Sciences Corp. Common Stock,642850046.0,Christopher U. Missling Ph.D.,42,"New York, New YorkUnited States",2004,,Google Finance,https://www.google.com/finance/quote/AVXL:NASDAQ?hl=en,no
AVY,Avery Dennison Corporation Common Stock,13894142812.0,Deon Stander,"35,000","8080 Norton Parkway Mentor, OH 44060 United States",1935,,"CNBC,Google Finance","https://www.google.com/finance/quote/AVY:NYSE?hl=en,https://www.cnbc.com/quotes/AVY",no
AWF,Alliancebernstein Global High Income Fund,0.0,,,"66 HUDSON BOULEVARD EAST, 26TH FLOOR New York, NY 10001 United States",,,CNBC,https://www.cnbc.com/quotes/AWF,
AWI,Armstrong World Industries Inc Common Stock,6758515374.0,Victor D. Grizzle,"3,600","Lancaster, PennsylvaniaUnited States",1860,,Google Finance,https://www.google.com/finance/quote/AWI:NYSE?hl=en,no
AWK,American Water Works Company Inc. Common Stock,27880810597.0,Susan Hardwick,"6,700","Camden, New JerseyUnited States",1886,,Google Finance,https://www.google.com/finance/quote/AWK:NYSE?hl=en,no
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,0.0,,,"Philadelphia, PennsylvaniaUnited States",,,Google Finance,https://www.google.com/finance/quote/AWP:NYSE?hl=en,
AWR,American States Water Company Common Stock,3037186453.0,,517,"San Dimas, CaliforniaUnited States","Dec 1, 1929",,Google Finance,https://www.google.com/finance/quote/AWR:NYSE?hl=en,
AWRE,Aware Inc. Common Stock,35433772.0,,64,"Bedford, MassachusettsUnited States",1986,,Google Finance,https://www.google.com/finance/quote/AWRE:NASDAQ?hl=en,
AWX,Avalon Holdings Corporation Common Stock,9553606.0,Ronald Klingle,,"1 American Way NE Warren, OH 44484 United States",,,CNBC,https://www.cnbc.com/quotes/AWX,no
AX,Axos Financial Inc. Common Stock,3920184679.0,,"1,781","Las Vegas, NevadaUnited States","Jul 6, 1999",,Google Finance,https://www.google.com/finance/quote/AX:NYSE?hl=en,
AXGN,Axogen Inc. Common Stock,495974639.0,,452,"Alachua, FloridaUnited States",2002,,Google Finance,https://www.google.com/finance/quote/AXGN:NASDAQ?hl=en,
AXIL,AXIL Brands Inc. Common Stock,40896590.0,Jeff Toghraie,,"9150 Wilshire Boulevard, Unit 245 Beverly Hills, CA 90212 United States",,,CNBC,https://www.cnbc.com/quotes/AXIL,no
AXL,American Axle & Manufacturing Holdings Inc. Common Stock,519491300.0,David C. Dauch,"19,000","Detroit, MichiganUnited States",1994,,Google Finance,https://www.google.com/finance/quote/AXL:NYSE?hl=en,no
AXON,Axon Enterprise Inc. Common Stock,58416135292.0,Patrick W. Smith,"4,100","Scottsdale, ArizonaUnited States","Sep 7, 1993",,Google Finance,https://www.google.com/finance/quote/AXON:NASDAQ?hl=en,no
AXP,American Express Company Common Stock,206008157224.0,Stephen Squeri,"75,100","New York, New YorkUnited States","Mar 18, 1850",,Google Finance,https://www.google.com/finance/quote/AXP:NYSE?hl=en,yes
AXR,AMREP Corporation Common Stock,107070842.0,,42,"Princeton, New JerseyUnited States",1961,,Google Finance,https://www.google.com/finance/quote/AXR:NYSE?hl=en,
AXS,Axis Capital Holdings Limited Common Stock,8164199565.0,,"1,876",92 Pitts Bay Road Pembroke HM 08 Bermuda,"Nov 8, 2001",,"CNBC,Google Finance","https://www.google.com/finance/quote/AXS:NYSE?hl=en,https://www.cnbc.com/quotes/AXS",
AXS^E,Axis Capital Holdings Limited Depositary Shares each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares,,,"1,876",92 Pitts Bay Road Pembroke HM 08 Bermuda,"Nov 8, 2001",,"CNBC,Google Finance","https://www.google.com/finance/quote/AXS:NYSE?hl=en,https://www.cnbc.com/quotes/AXS",
AXSM,Axsome Therapeutics Inc. Common Stock,5177696143.0,Herriot Tabuteau,712,"One World Trade Center, 29Th Floor New York, NY 10007 United States",2012,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AXSM,https://www.google.com/finance/quote/AXSM:NASDAQ?hl=en",no
AXTA,Axalta Coating Systems Ltd. Common Shares,6731631892.0,Robert Bryant,"12,900","Philadelphia, PennsylvaniaUnited States",1866,,Google Finance,https://www.google.com/finance/quote/AXTA:NYSE?hl=en,no
AXTI,AXT Inc Common Stock,68861560.0,Morris S Young,"1,527","Fremont, CaliforniaUnited States",1986,Semiconductors,"Market Watch,Google Finance","https://www.google.com/finance/quote/AXTI:NASDAQ?hl=en,https://www.marketwatch.com/investing/stock/AXTI/company-profile?mod=mw_quote_tab",no
AYI,Acuity Inc. Common Stock,8031886936.0,Neil Ashe,"13,200","Atlanta, GeorgiaUnited States",1892,Industrial Electronics,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/AYI/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/AYI:NYSE?hl=en",no
AYRO,AYRO Inc. Common Stock,3339713.0,Joshua Nathaniel Silverman,58,"Round Rock, TexasUnited States",Jul 2015,Automobiles,"Market Watch,Google Finance","https://www.google.com/finance/quote/AYRO:NASDAQ?hl=en,https://www.marketwatch.com/investing/stock/AYRO/company-profile?mod=mw_quote_tab",no
AYTU,Aytu BioPharma Inc.  Common Stock,10983038.0,Joshua R. Disbrow,99,"Denver, ColoradoUnited States",2002,Pharmaceuticals,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/AYTU/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/AYTU:NASDAQ?hl=en",no
AZ,A2Z Cust2Mate Solutions Corp. Common Shares,328983986.0,,201,"Toronto, OntarioCanada",2018,Software,"Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/AZ/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/AZ:NASDAQ?hl=en",
AZEK,The AZEK Company Inc. Class A Common Stock,7122226046.0,Jesse Singh,"2,276","Chicago, IllinoisUnited States",2013,,Google Finance,https://www.google.com/finance/quote/AZEK:NYSE?hl=en,no
AZI,Autozi Internet Technology (Global) Ltd. Class A Ordinary Shares,48422810.0,Houqi Zhang,86,"Sanne Trustees (Cayman) Limited 3rd F, Citrus Grove, 106 Goring Ave Beijing, BEJ KY1-1106 China",2010,,"CNBC,Google Finance","https://www.cnbc.com/quotes/AZI,https://www.google.com/finance/quote/AZI:NASDAQ?hl=en",yes
AZN,AstraZeneca PLC American Depositary Shares,225865996918.0,Pascal Soriot,"94,300","Cambridge, CambridgeshireUnited Kingdom","Apr 6, 1999",,Google Finance,https://www.google.com/finance/quote/AZN:NASDAQ?hl=en,yes
AZO,AutoZone Inc. Common Stock,62448745727.0,Philip B. Daniele,"100,800","Memphis, TennesseeUnited States",1979,,Google Finance,https://www.google.com/finance/quote/AZO:NYSE?hl=en,no
AZTA,Azenta Inc.,1223240157.0,Stephen S. Schwartz Ph.D.,"3,000","Burlington, MassachusettsUnited States",1978,,Google Finance,https://www.google.com/finance/quote/AZTA:NASDAQ?hl=en,no
AZTR,Azitra Inc Common Stock,4514521.0,Francisco Salva,,"21 Business Park Drive, Suite 6 Branford, CT 06405 United States",,,CNBC,https://www.cnbc.com/quotes/AZTR,no
AZZ,AZZ Inc.,2712817679.0,Thomas E Ferguson,"3,684","Fort Worth, TexasUnited States",1956,,Google Finance,https://www.google.com/finance/quote/AZZ:NYSE?hl=en,no
B,Barrick Mining Corporation Common Shares,32944816430.0,Thomas J HookMark Bristow,"6,500","Bristol, ConnecticutUnited States",1983,,Google Finance,https://www.google.com/finance/quote/B:NYSE?hl=en,yes
BA,Boeing Company (The) Common Stock,156320414870.0,Kelly Ortberg,"172,000","929 Long Bridge Drive Arlington, VA 22202 United States","Jul 15, 1916",,"CNBC,Google Finance","https://www.cnbc.com/quotes/BA,https://www.google.com/finance/quote/BA:NYSE?hl=en",no
BA^A,Boeing Company (The) Depositary Shares each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock par value $1.00,,Kelly Ortberg,"172,000","929 Long Bridge Drive Arlington, VA 22202 United States","Jul 15, 1916",,"CNBC,Google Finance","https://www.cnbc.com/quotes/BA,https://www.google.com/finance/quote/BA:NYSE?hl=en",no
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,271145994458.0,Eddie Wu,"124,320","Hangzhou, ZhejiangHong Kong","Apr 4, 1999",,Google Finance,https://www.google.com/finance/quote/BABA:NYSE?hl=en,no
BAC,Bank of America Corporation Common Stock,332381692425.0,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BAC^B,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock Series GG,,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BAC^E,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BAC^K,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.875% Non- Cumulative Preferred Stock Series HH,,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BAC^L,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BAC^M,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series KK,,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BAC^N,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 5.000% Non-Cumulative Preferred Stock Series LL,,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BAC^O,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.375% Non-Cumulative Preferred Stock Series NN,,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BAC^P,Bank of America Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.125% Non-Cumulative Preferred Stock Series PP,,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BAC^Q,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.250% Non-Cumulative Preferred Stock Series QQ,,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BAC^S,Bank of America Corporation Depositary shares each representing 1/1000th interest in a share of 4.750% Non-Cumulative Preferred Stock Series SS,,Brian Moynihan,"213,000","Bank Of America Corporate Center 100 N Tryon St Charlotte, NC 28255 United States","Sep 30, 1998",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAC:NYSE?hl=en,https://www.cnbc.com/quotes/BAC",yes
BACQ,Bleichroeder Acquisition Corp. I Class A Ordinary Shares,0.0,Andrew Gundlach,,"1345 Avenue of the Americas, Fl 47 New York, NY 10105 United States",2024,,"CNBC,Google Finance","https://www.cnbc.com/quotes/BACQ,https://www.google.com/finance/quote/BACQ:NASDAQ?hl=en",no
BACQR,Bleichroeder Acquisition Corp. I Right,0.0,Andrew Gundlach,,"1345 Avenue of the Americas, Fl 47 New York, NY 10105 United States",,,CNBC,https://www.cnbc.com/quotes/BACQR,no
BACQU,Bleichroeder Acquisition Corp. I Unit,0.0,Andrew Gundlach,,"1345 Avenue of the Americas, Fl 47 New York, NY 10105 United States",2024,,"CNBC,Google Finance","https://www.google.com/finance/quote/BACQU:NASDAQ?hl=en,https://www.cnbc.com/quotes/BACQU",no
BAER,Bridger Aerospace Group Holdings Inc. Common Stock,90292366.0,,191,"Belgrade, MontanaUnited States",2014,,Google Finance,https://www.google.com/finance/quote/BAER:NASDAQ?hl=en,
BAERW,Bridger Aerospace Group Holdings Inc. Warrant,3288831.0,,191,"Belgrade, MontanaUnited States",2014,,Google Finance,https://www.google.com/finance/quote/BAERW:NASDAQ?hl=en,
BAFN,BayFirst Financial Corp. Common Stock,67303140.0,,305,"700 Central Avenue, Suite 102 St Petersburg, FL 33701 United States",1999,,"CNBC,Google Finance","https://www.google.com/finance/quote/BAFN:NASDAQ?hl=en,https://www.cnbc.com/quotes/BAFN",
BAH,Booz Allen Hamilton Holding Corporation Common Stock,13194936113.0,Horacio D. Rozanski,"35,800","McLean, VirginiaUnited States","Jun 18, 1914",,Google Finance,https://www.google.com/finance/quote/BAH:NYSE?hl=en,no
BAK,Braskem SA ADR,1711824191.0,Roberto Bischoff,"8,569",R Eteno 1561 Polo Industrial De Camacari Camacari 42.816-200 Brazil,"Aug 16, 2002",,"CNBC,Google Finance","https://www.google.com/finance/quote/BAK:NYSE?hl=en,https://www.cnbc.com/quotes/BAK",no
BALL,Ball Corporation Common Stock,14864029864.0,Daniel W. Fisher,"16,000","9200 W. 108th Circle, P.O. Box 5000 Westminster, CO 80021-2510 United States",1880,,"CNBC,Google Finance","https://www.google.com/finance/quote/BALL:NYSE?hl=en,https://www.cnbc.com/quotes/BALL",no
BALY,Bally's Corporation Common Stock,491602346.0,,"10,000","Providence, Rhode IslandUnited States",2004,,Google Finance,https://www.google.com/finance/quote/BALY:NYSE?hl=en,
BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,91853482971.0,Bruce FlattConnor Teskey,"2,500","Toronto, OntarioCanada",1899,,Google Finance,https://www.google.com/finance/quote/BAM:NYSE?hl=en,yes
BANC,Banc of California Inc. Common Stock,2025315379.0,,"1,903","Santa Ana, CaliforniaUnited States",1941,,Google Finance,https://www.google.com/finance/quote/BANC:NYSE?hl=en,
BANC^F,Banc of California Inc. Depositary Shares each representing a 1/40th interest in a share of 7.75% non-cumulative perpetual preferred stock Series F,,,"1,903","Santa Ana, CaliforniaUnited States",1941,,Google Finance,https://www.google.com/finance/quote/BANC:NYSE?hl=en,
BAND,Bandwidth Inc. Class A Common Stock,417276068.0,David Morken J.D.,"1,100","Raleigh, North CarolinaUnited States",1999,,"CNBC,Google Finance","https://www.cnbc.com/quotes/BAND,https://www.google.com/finance/quote/BAND:NASDAQ?hl=en",no
BANF,BancFirst Corporation Common Stock,4112302306.0,David R. Harlow,"2,135","Oklahoma City, OklahomaUnited States",1966,,Google Finance,https://www.google.com/finance/quote/BANF:NASDAQ?hl=en,no
BANFP,BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities,860988883.0,,,,2004,,Google Finance,https://www.google.com/finance/quote/BANFP:NASDAQ?hl=en,
BANL,CBL International Limited Ordinary Shares,24241250.0,Teck Lim Chia,39,"Room 3710b 37/F, Skyline Tower, 39 Wang Kwong Road Kowloon K3 0000 Hong Kong",2015,,"CNBC,Google Finance","https://www.cnbc.com/quotes/BANL,https://www.google.com/finance/quote/BANL:NASDAQ?hl=en",no
BANR,Banner Corporation Common Stock,2131858850.0,Mark J Grescovich,"1,956","Walla Walla, WashingtonUnited States",1890,,Google Finance,https://www.google.com/finance/quote/BANR:NASDAQ?hl=en,no
BANX,ArrowMark Financial Corp. Common Stock,142407651.0,Sanjai Bhonsle,,"Denver, ColoradoUnited States",2013,,"CNBC,Google Finance","https://www.google.com/finance/quote/BANX:NASDAQ?hl=en,https://www.cnbc.com/quotes/BANX",yes
BAOS,Baosheng Media Group Holdings Limited Ordinary shares,3713459.0,,31,"Jinqiu Int'l Building Room 901, Block B Zhichun Road Beijing, BEJ 100041 China",2014,,"CNBC,Google Finance","https://www.cnbc.com/quotes/BAOS,https://www.google.com/finance/quote/BAOS:NASDAQ?hl=en",
BAP,Credicorp Ltd. Common Stock,19991118564.0,Gianfranco Ferrari de las CasasWalter Bayly Llona,"46,621","Calle Centenario 156, La Molina La Molina HM CX Peru",1995,,"CNBC,Google Finance","https://www.google.com/finance/quote/BAP:NYSE?hl=en,https://www.cnbc.com/quotes/BAP",no
BARK,BARK Inc. Class A Common Stock,225640160.0,Matt Meeker,708,"120 Broadway, 12Th Floor New York, NY 10271 United States",2011,,"CNBC,Google Finance","https://www.google.com/finance/quote/BARK:NYSE?hl=en,https://www.cnbc.com/quotes/BARK",no
BASE,Couchbase Inc. Common Stock,959517217.0,Matt Cain,792,"Santa Clara, CaliforniaUnited States",2011,,Google Finance,https://www.google.com/finance/quote/BASE:NASDAQ?hl=en,no
BATL,Battalion Oil Corporation Common Stock,22348013.0,,38,"820 Gessner Road, Suite 1100 Houston, TX 77024 United States",,Upstream Oil & Gas,"CNBC,Market Watch","https://www.marketwatch.com/investing/stock/BATL/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/BATL",
BATRA,Atlanta Braves Holdings Inc. Series A Common Stock,2719667936.0,Terence F. McGuirk,"1,450","12300 Liberty Boulevard Englewood, CO 80112 United States",2022,Recreational Services,"CNBC,Market Watch,Google Finance","https://www.google.com/finance/quote/BATRA:NASDAQ?hl=en,https://www.cnbc.com/quotes/BATRA,https://www.marketwatch.com/investing/stock/BATRA/company-profile?mod=mw_quote_tab",no
BATRK,Atlanta Braves Holdings Inc. Series C Common Stock,2541903679.0,Terence F. McGuirk,"1,450","12300 Liberty Boulevard Englewood, CO 80112 United States",2022,Recreational Services,"CNBC,Market Watch,Google Finance","https://www.marketwatch.com/investing/stock/BATRK/company-profile?mod=mw_quote_tab,https://www.cnbc.com/quotes/BATRK,https://www.google.com/finance/quote/BATRK:NASDAQ?hl=en",no
BAX,Baxter International Inc. Common Stock,15651826002.0,José E. Almeida,"38,000","Deerfield, IllinoisUnited States",1931,Medical Equipment/Supplies,"Market Watch,Google Finance","https://www.google.com/finance/quote/BAX:NYSE?hl=en,https://www.marketwatch.com/investing/stock/BAX/company-profile?mod=mw_quote_tab",no
BAYA,Bayview Acquisition Corp Ordinary Shares,0.0,Xin Wang,2,"420 Lexington Ave, Suit 2446 New York, NY 10170 United States",2023,Shell companies,"CNBC,Market Watch,Google Finance","https://www.cnbc.com/quotes/BAYA,https://www.marketwatch.com/investing/stock/BAYA/company-profile?mod=mw_quote_tab,https://www.google.com/finance/quote/BAYA:NASDAQ?hl=en",yes
BAYAR,Bayview Acquisition Corp Right,0.0,,,"420 Lexington Ave, Suit 2446 New York, NY 10170 United States",,,CNBC,https://www.cnbc.com/quotes/BAYAR,
BAYAU,Bayview Acquisition Corp Unit,0.0,,,"420 Lexington Ave, Suit 2446 New York, NY 10170 United States",2023,,"CNBC,Google Finance","https://www.cnbc.com/quotes/BAYAU,https://www.google.com/finance/quote/BAYAU:NASDAQ?hl=en",
BB,BlackBerry Limited Common Stock,2360160000.0,John Giamatteo,"1,820","Waterloo, OntarioCanada","Mar 7, 1984",,Google Finance,https://www.google.com/finance/quote/BB:NYSE?hl=en,no
BBAI,BigBear.ai Inc. Common Stock,1211345429.0,,630,"7950 Jones Branch Drive Mclean, VA 22102 United States",1988,,"CNBC,Google Finance","https://www.cnbc.com/quotes/BBAI,https://www.google.com/finance/quote/BBAI:NYSE?hl=en",
BBAR,Banco BBVA Argentina S.A. ADS,4015293384.0,,"6,399",Reconquista 199 - Caba Zona Norte - Caba Buenos Aires C1003ABB Argentina,"Oct 14, 1886",,"CNBC,Google Finance","https://www.google.com/finance/quote/BBAR:NYSE?hl=en,https://www.cnbc.com/quotes/BBAR",
BBCP,Concrete Pumping Holdings Inc. Common Stock,372948143.0,,"1,590","Thornton, ColoradoUnited States",1983,,Google Finance,https://www.google.com/finance/quote/BBCP:NASDAQ?hl=en,
BBD,Banco Bradesco Sa American Depositary Shares,30649450257.0,,"71,953","Osasco, State of São PauloBrazil","Mar 10, 1943",,Google Finance,https://www.google.com/finance/quote/BBD:NYSE?hl=en,
BBDC,Barings BDC Inc. Common Stock,979960713.0,Eric Lloyd,,"Charlotte, North CarolinaUnited States",2006,,"CNBC,Google Finance","https://www.google.com/finance/quote/BBDC:NYSE?hl=en,https://www.cnbc.com/quotes/BBDC",no
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),26818268975.0,,"71,953","Osasco, State of São PauloBrazil","Mar 10, 1943",,Google Finance,https://www.google.com/finance/quote/BBDO:NYSE?hl=en,
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,7949285.0,Caroline Beasley,677,"Naples, FloridaUnited States",1961,,"CNBC,Google Finance","https://www.cnbc.com/quotes/BBGI,https://www.google.com/finance/quote/BBGI:NASDAQ?hl=en",no
BBIO,BridgeBio Pharma Inc. Common Stock,6503414660.0,Neil Kumar,728,"Palo Alto, CaliforniaUnited States",2015,,Google Finance,https://www.google.com/finance/quote/BBIO:NASDAQ?hl=en,no
BBLG,Bone Biologics Corp Common Stock,2878844.0,Jeffrey Frelick,2,"Burlington, MassachusettsUnited States",2004,,"CNBC,Google Finance","https://www.google.com/finance/quote/BBLG:NASDAQ?hl=en,https://www.cnbc.com/quotes/BBLG",yes
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial Interest,0.0,,,"Wilmington, DelawareUnited States",1983,,Google Finance,https://www.google.com/finance/quote/BBN:NYSE?hl=en,
BBNX,Beta Bionics Inc. Common Stock,747462284.0,,353,"Irvine, CaliforniaUnited States",2015,,Google Finance,https://www.google.com/finance/quote/BBNX:NASDAQ?hl=en,
BBSI,Barrett Business Services Inc. Common Stock,1061234761.0,Gary Kramer,"135,727","Vancouver, WashingtonUnited States",1965,,Google Finance,https://www.google.com/finance/quote/BBSI:NASDAQ?hl=en,no
BBU,Brookfield Business Partners L.P. Limited Partnership Units,5448035670.0,,"72,000","5th Floor, 73 Front Street Hamilton HM 12 Bermuda",Jun 2016,,"CNBC,Google Finance","https://www.google.com/finance/quote/BBU:NYSE?hl=en,https://www.cnbc.com/quotes/BBU",
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,2821290959.0,,,"250 Vesey Street, 15Th Floor New York, NY 10281 United States",2021,,"CNBC,Google Finance","https://www.cnbc.com/quotes/BBUC,https://www.google.com/finance/quote/BBUC:NYSE?hl=en",
